,code,term
1031,279225001,Maternity blues (disorder)
1032,25922000,"Major depressive disorder, single episode with postpartum onset (disorder)"
1033,78667006,Dysthymia (disorder)
1034,19694002,Late onset dysthymia (disorder)
1035,36170009,Secondary dysthymia late onset (disorder)
1036,67711008,Primary dysthymia late onset (disorder)
1037,2506003,Early onset dysthymia (disorder)
1038,3109008,Secondary dysthymia early onset (disorder)
1039,38451003,Primary dysthymia early onset (disorder)
1040,83176005,Primary dysthymia (disorder)
1041,85080004,Secondary dysthymia (disorder)
1042,87842000,Generalized neuromuscular exhaustion syndrome (disorder)
1043,79842004,Stuporous depression (disorder)
1044,82218004,Postoperative depression (disorder)
1045,83458005,Agitated depression (disorder)
1046,84760002,"Schizoaffective disorder, depressive type (disorder)"
1047,84788008,Menopausal depression (disorder)
1048,191676002,Reactive depressive psychosis (disorder)
1049,288751000119101,"Reactive depressive psychosis, single episode (disorder)"
1050,192079006,Postviral depression (disorder)
1051,310495003,Mild depression (disorder)
1052,87512008,Mild major depression (disorder)
1053,79298009,"Mild major depression, single episode (disorder)"
1054,310496002,Moderate depression (disorder)
1055,832007,Moderate major depression (disorder)
1056,15639000,"Moderate major depression, single episode (disorder)"
1057,310497006,Severe depression (disorder)
1058,450714000,Severe major depression (disorder)
1059,251000119105,"Severe major depression, single episode (disorder)"
1060,73867007,Severe major depression with psychotic features (disorder)
1061,33736005,"Severe major depression with psychotic features, mood-congruent (disorder)"
1062,77911002,"Severe major depression, single episode, with psychotic features, mood-congruent (disorder)"
1063,60099002,"Severe major depression with psychotic features, mood-incongruent (disorder)"
1064,20250007,"Severe major depression, single episode, with psychotic features, mood-incongruent (disorder)"
1065,430852001,"Severe major depression, single episode, with psychotic features (disorder)"
1066,75084000,Severe major depression without psychotic features (disorder)
1067,76441001,"Severe major depression, single episode, without psychotic features (disorder)"
1068,370143000,Major depressive disorder (disorder)
1069,320751009,"Major depression, melancholic type (disorder)"
1070,36923009,"Major depression, single episode (disorder)"
1071,19527009,Single episode of major depression in full remission (disorder)
1072,63778009,"Major depressive disorder, single episode with melancholic features (disorder)"
1073,69392006,"Major depressive disorder, single episode with catatonic features (disorder)"
1074,70747007,"Major depression single episode, in partial remission (disorder)"
1075,42810003,Major depression in remission (disorder)
1076,30605009,Major depression in partial remission (disorder)
1077,63412003,Major depression in full remission (disorder)
1078,10811121000119102,Major depressive disorder in mother complicating childbirth (disorder)
1079,10811161000119107,Major depressive disorder in mother complicating pregnancy (disorder)
1080,162722001,On examination - depressed (disorder)
1081,191495003,Drug-induced depressive state (disorder)
1082,87414006,Reactive depression (situational) (disorder)
1083,698957003,Depressive disorder in remission (disorder)
1084,10835871000119104,Depressive disorder in mother complicating childbirth (disorder)
1085,94631000119100,Depressive disorder in mother complicating pregnancy (disorder)
1086,712823008,Acute depression (disorder)
1087,36622002,Mild mood disorder (disorder)
1088,38547003,Mood disorder in full remission (disorder)
1089,74266001,Mood disorder in partial remission (disorder)
1090,88939009,Severe mood disorder without psychotic features (disorder)
1091,9167000,Moderate mood disorder (disorder)
1092,76105009,Cyclothymia (disorder)
1093,698946008,Cyclothymia in remission (disorder)
1094,429672007,Drug-induced mood disorder (disorder)
1095,21071000119101,Mood disorder of manic type (disorder)
1096,231494001,Mania (disorder)
1097,231495000,Manic stupor (disorder)
1098,191658009,Atypical manic disorder (disorder)
1099,268619003,"Manic disorder, single episode (disorder)"
1100,191583000,"Single manic episode, mild (disorder)"
1101,191584006,"Single manic episode, moderate (disorder)"
1102,191586008,"Single manic episode, severe, with psychosis (disorder)"
1103,191588009,Single manic episode in full remission (disorder)
1104,231496004,Hypomania (disorder)
1105,94921000119107,Episodic mood disorder (disorder)
1106,21061000119107,Mood disorder of depressed type (disorder)
1107,715924009,Disruptive mood dysregulation disorder (disorder)
1108,48500005,Delusional disorder (disorder)
1109,162313000,Morbid jealousy (disorder)
1110,231487004,Persistent delusional disorder (disorder)
1111,278508007,Delusional dysmorphophobia (disorder)
1112,33323008,Somatic delusion disorder (disorder)
1113,278506006,Involutional paranoid state (disorder)
1114,280949006,Erotomania (disorder)
1115,18573003,Obsessional erotomania (disorder)
1116,14144000,Erotomanic delusion disorder (disorder)
1117,26472000,Paraphrenia (disorder)
1118,38295006,Involutional paraphrenia (disorder)
1119,47447001,Grandiose delusion disorder (disorder)
1120,60123008,"Delusional disorder, mixed type (disorder)"
1121,77475008,Jealous delusion disorder (disorder)
1122,89618007,Persecutory delusion disorder (disorder)
1123,191667009,Paranoid disorder (disorder)
1124,191668004,Simple paranoid state (disorder)
1125,191670008,Shared paranoid disorder (disorder)
1126,191672000,Paranoia querulans (disorder)
1127,268622001,Chronic paranoid psychosis (disorder)
1128,129604005,Delusion of heart disease syndrome (disorder)
1129,427975003,Drug-induced delusional disorder (disorder)
1130,698951002,Delusional disorder in remission (disorder)
1131,50705009,Factitious disorder (disorder)
1132,10278007,Factitious purpura (disorder)
1133,109805003,Factitious cheilitis (disorder)
1134,230455006,Self-induced non-photosensitive epilepsy (disorder)
1135,233690008,Factitious asthma (disorder)
1136,16966009,Factitious hypoglycemia (disorder)
1137,21586000,Munchausen's syndrome (disorder)
1138,24315006,Factitious disorder with combined physical AND psychological symptoms (disorder)
1139,27720003,Dermatitis factitia (disorder)
1140,4997005,Thyrotoxicosis factitia (disorder)
1141,88740003,Thyrotoxicosis factitia with thyrotoxic crisis (disorder)
1142,95637005,Munchausen syndrome by proxy (disorder)
1143,403590001,Cutaneous Munchausen syndrome by proxy (disorder)
1144,430744005,Factitious disorder with predominantly physical signs and symptoms (disorder)
1145,430751001,Factitious disorder with predominantly psychological signs and symptoms (disorder)
1146,56641006,Axis II diagnosis (disorder)
1147,49271002,Deferred diagnosis on Axis II (disorder)
1148,66936004,Identity disorder (disorder)
1149,192122001,Childhood or adolescent identity disorder (disorder)
1150,270291000119109,Identity disorder of childhood (disorder)
1151,69322001,Psychotic disorder (disorder)
1152,191680007,Psychogenic paranoid psychosis (disorder)
1153,231489001,Acute transient psychotic disorder (disorder)
1154,191678001,Reactive confusion (disorder)
1155,268624000,Acute paranoid reaction (disorder)
1156,274953007,Acute polymorphic psychotic disorder (disorder)
1157,307417003,Cycloid psychosis (disorder)
1158,63204009,Bouffée délirante (disorder)
1159,712824002,Acute polymorphic psychotic disorder without symptoms of schizophrenia (disorder)
1160,712850003,Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia (disorder)
1161,278853003,Acute schizophrenia-like psychotic disorder (disorder)
1162,88975006,Schizophreniform disorder (disorder)
1163,36158005,Schizophreniform disorder with good prognostic features (disorder)
1164,55736003,Schizophreniform disorder without good prognostic features (disorder)
1165,18260003,Postpartum psychosis (disorder)
1166,237351003,Mild postnatal psychosis (disorder)
1167,237352005,Severe postnatal psychosis (disorder)
1168,58214004,Schizophrenia (disorder)
1169,191527001,Simple schizophrenia (disorder)
1170,16990005,Subchronic schizophrenia (disorder)
1171,111482003,Subchronic schizophrenia with acute exacerbations (disorder)
1172,14291003,Subchronic disorganized schizophrenia with acute exacerbations (disorder)
1173,7025000,Subchronic undifferentiated schizophrenia with acute exacerbations (disorder)
1174,70814008,Subchronic residual schizophrenia with acute exacerbations (disorder)
1175,191554003,Acute exacerbation of subchronic paranoid schizophrenia (disorder)
1176,191547009,Acute exacerbation of subchronic catatonic schizophrenia (disorder)
1177,27387000,Subchronic disorganized schizophrenia (disorder)
1178,42868002,Subchronic catatonic schizophrenia (disorder)
1179,76566000,Subchronic residual schizophrenia (disorder)
1180,79866005,Subchronic paranoid schizophrenia (disorder)
1181,85861002,Subchronic undifferentiated schizophrenia (disorder)
1182,4926007,Schizophrenia in remission (disorder)
1183,111483008,Catatonic schizophrenia in remission (disorder)
1184,31373002,Disorganized schizophrenia in remission (disorder)
1185,39610001,Undifferentiated schizophrenia in remission (disorder)
1186,51133006,Residual schizophrenia in remission (disorder)
1187,63181006,Paranoid schizophrenia in remission (disorder)
1188,191530008,Acute exacerbation of subchronic schizophrenia (disorder)
1189,191542003,Catatonic schizophrenia (disorder)
1190,441833000,Lethal catatonia (disorder)
1191,111484002,Undifferentiated schizophrenia (disorder)
1192,268617001,Acute schizophrenic episode (disorder)
1193,26025008,Residual schizophrenia (disorder)
1194,35252006,Disorganized schizophrenia (disorder)
1195,191536002,Subchronic hebephrenic schizophrenia (disorder)
1196,191537006,Chronic hebephrenic schizophrenia (disorder)
1197,191538001,Acute exacerbation of subchronic hebephrenic schizophrenia (disorder)
1198,191540006,Hebephrenic schizophrenia in remission (disorder)
1199,64905009,Paranoid schizophrenia (disorder)
1200,191526005,Schizophrenic disorders (disorder)
1201,191577003,Cenesthopathic schizophrenia (disorder)
1202,247804008,Schizophrenic prodrome (disorder)
1203,416340002,Late onset schizophrenia (disorder)
1204,61831009,Induced psychotic disorder (disorder)
1205,68890003,Schizoaffective disorder (disorder)
1206,270901009,"Schizoaffective disorder, mixed type (disorder)"
1207,271428004,"Schizoaffective disorder, manic type (disorder)"
1208,191567000,Schizoaffective schizophrenia (disorder)
1209,191569002,Subchronic schizoaffective schizophrenia (disorder)
1210,191570001,Chronic schizoaffective schizophrenia (disorder)
1211,191571002,Acute exacerbation of subchronic schizoaffective schizophrenia (disorder)
1212,191574005,Schizoaffective schizophrenia in remission (disorder)
1213,191525009,Non-organic psychosis (disorder)
1214,231438001,Presbyophrenic psychosis (disorder)
1215,129602009,Symbiotic infantile psychosis (disorder)
1216,408858002,Infantile psychosis (disorder)
1217,191483003,Drug-induced psychosis (disorder)
1218,191484009,Drug-induced paranoia or hallucinatory states (disorder)
1219,191485005,Drug-induced paranoid state (disorder)
1220,191486006,Drug-induced hallucinosis (disorder)
1221,191496002,Drug-induced personality disorder (disorder)
1222,7761000119106,Psychotic disorder caused by amphetamine use (disorder)
1223,441704009,Affective psychosis (disorder)
1224,231437006,Reactive psychoses (disorder)
1225,5464005,Brief reactive psychosis (disorder)
1226,473452003,Atypical psychosis (disorder)
1227,10760421000119102,Psychotic disorder in mother complicating childbirth (disorder)
1228,10760461000119107,Psychotic disorder in mother complicating pregnancy (disorder)
1229,89016005,Axis III diagnosis (disorder)
1230,25029006,Deferred diagnosis on Axis III (disorder)
1231,89415002,Hypersomnia disorder related to another mental disorder (disorder)
1232,899001,Axis I diagnosis (disorder)
1233,9760005,Deferred diagnosis on Axis I (disorder)
1234,191687005,Psychosis with origin in childhood (disorder)
1235,191696005,Atypical childhood psychoses (disorder)
1236,191697001,Borderline psychosis of childhood (disorder)
1237,441716003,Residual childhood psychosis (disorder)
1238,22641000119109,Psychosis in early childhood (disorder)
1239,191983006,Bruxism (teeth grinding) (disorder)
1240,274950005,Sleep-related bruxism (disorder)
1241,199257008,"Mental disorders during pregnancy, childbirth and the puerperium (disorder)"
1242,199259006,Mental disorder during pregnancy - baby delivered (disorder)
1243,199260001,Mental disorder in the puerperium - baby delivered (disorder)
1244,199261002,Mental disorder during pregnancy - baby not yet delivered (disorder)
1245,199262009,Mental disorder in the puerperium - baby delivered during previous episode of care (disorder)
1246,267320004,Pregnancy with mental disorders (disorder)
1247,18491000119109,Psychological disorder during pregnancy (disorder)
1248,231538003,Behavioral and emotional disorder with onset in childhood (disorder)
1249,192123006,Academic underachievement disorder (disorder)
1250,192069009,Specific nonpsychotic mental disorders following organic brain damage (disorder)
1251,398066007,Intensive care psychiatric disorder (disorder)
1252,442351006,Mental disorder caused by drug (disorder)
1253,11061003,Psychoactive substance use disorder (disorder)
1254,310202009,Arylcyclohexylamine-induced organic mental disorder (disorder)
1255,311173003,Phencyclidine-related disorder (disorder)
1256,21841000119100,Phencyclidine induced mental problem (disorder)
1257,313915006,Hypnotic-induced organic mental disorder (disorder)
1258,2403008,Psychoactive substance dependence (disorder)
1259,231467000,Absinthe addiction (disorder)
1260,7200002,Alcoholism (disorder)
1261,66590003,Alcohol dependence (disorder)
1262,191811004,Continuous chronic alcoholism (disorder)
1263,191812006,Episodic chronic alcoholism (disorder)
1264,191813001,Chronic alcoholism in remission (disorder)
1265,10741871000119101,Alcohol dependence in pregnancy (disorder)
1266,10755041000119100,Alcohol dependence in childbirth (disorder)
1267,713583005,Mild alcohol dependence (disorder)
1268,713862009,Severe alcohol dependence (disorder)
1269,714829008,Moderate alcohol dependence (disorder)
1270,97571000119109,Thrombocytopenia co-occurrent and due to alcoholism (disorder)
1271,301643003,"Sedative, hypnotic AND/OR anxiolytic-induced persisting amnestic disorder (disorder)"
1272,312098001,"Sedative, hypnotic AND/OR anxiolytic-related disorder (disorder)"
1273,57588009,"Sedative, hypnotic AND/OR anxiolytic-induced sleep disorder (disorder)"
1274,56627002,Psychosexual disorder (disorder)
1275,36943003,Making obscene telephone calls (disorder)
1276,41021005,Psychologic dyspareunia (disorder)
1277,46432001,Lecherism (disorder)
1278,46762006,Sexual desire disorder (disorder)
1279,268724009,Excessive sexual drive (disorder)
1280,55728007,Sexual aversion disorder (disorder)
1281,270903007,Lack or loss of sexual desire (disorder)
1282,5664002,Situational hypoactive sexual desire disorder (disorder)
1283,50299009,Paraphilia (disorder)
1284,229025005,Lindinism (disorder)
1285,2815001,Sexual pyromania (disorder)
1286,31358003,Coprophilia (disorder)
1287,36262007,Pygmalionism (disorder)
1288,41524005,Flagellantism (disorder)
1289,45924006,Necrophilia (disorder)
1290,45994004,Erotic vomiting (disorder)
1291,58349009,Exhibitionism (disorder)
1292,248103001,Flashing (disorder)
1293,56034001,Compulsive exhibitionism (disorder)
1294,58855008,Symptomatic exhibitionism (disorder)
1295,59174009,Fetishism (disorder)
1296,15840001,Symptomatic fetishism (disorder)
1297,18186001,True compulsive fetishism (disorder)
1298,77332003,Partialism (disorder)
1299,472981000,Fetishistic transvestism (disorder)
1300,62491004,Frotteurism (disorder)
1301,62792007,Urophilia (disorder)
1302,63835008,Voyeurism (disorder)
1303,79524000,Ecouteurism (disorder)
1304,81463002,Bestiality (disorder)
1305,89248000,Erotic zoophilia (disorder)
1306,84002002,Pedophilia (disorder)
1307,10783000,Symptomatic pedophilia (disorder)
1308,25971005,"Pedophilia, exclusive type (disorder)"
1309,32410009,Pederasty (disorder)
1310,46023009,"Pedophilia, same AND opposite sex (disorder)"
1311,48309007,"Pedophilia, nonexclusive type (disorder)"
1312,67227000,"Pedophilia, same sex (disorder)"
1313,70922000,Compulsive pedophilia (disorder)
1314,74791000,"Pedophilia, limited to incest (disorder)"
1315,9083002,"Pedophilia, opposite sex (disorder)"
1316,8522006,Klismaphilia (disorder)
1317,95636001,Sadomasochism (disorder)
1318,51239001,Sexual masochism (disorder)
1319,48046002,Symptomatic sexual masochism (disorder)
1320,65410009,Compulsive sexual masochism (disorder)
1321,59394009,Sexual sadism (disorder)
1322,111486000,Symptomatic sexual sadism (disorder)
1323,19922006,Compulsive sexual sadism (disorder)
1324,56095002,Necrosadism (disorder)
1325,71787009,Psychologic vaginismus (disorder)
1326,82636008,Orgasm disorder (disorder)
1327,60103007,Inhibited female orgasm (disorder)
1328,81903006,Inhibited male orgasm (disorder)
1329,442243005,Psychosexual dysfunction associated with inhibited libido (disorder)
1330,73491007,Psychogenic impotence (disorder)
1331,10811201000119102,Mental disorder in mother complicating childbirth (disorder)
1332,444613000,Adult attention deficit hyperactivity disorder (disorder)
1333,288421000119100,Hyposomnia co-occurrent and due to psychological disorder (disorder)
1334,66347000,Impulse control disorder (disorder)
1335,15945005,Psychogenic polydipsia (disorder)
1336,17155009,Trichotillomania (disorder)
1337,18085000,Compulsive gambling (disorder)
1338,600009,Pyromania (disorder)
1339,69361009,Kleptomania (disorder)
